text,labels
Mini chocolate chips were Walmart House Brand quality.,0
"I wish I was saying that I am thankful that Dibella's opened up a shop fairly close to my work, but I find myself gaining a beer belly too easily.",0
I thought we were dining at a fine dining steakhouse.,0
I've had plenty of this fish to know I've been fed something else.,0
"Got home and I was right on the guac, it was so sweet we could not eat it.",0
It just paled in comparison to my husband's short rib entree.,0
"Great froyo and a fun atmosphere, only for someone who is dead though.",0
I wish I would've purchased my car from them instead of awful Bill Luke in Phoenix.,0
"The best game of it's kind, with many needed improvements, but it's not enough.",0
"When I see a place that signed onto the whole celebrity chef thing, my ""overrated!""",0
I don't understand why they had to take the delicious foods off the menu.,0
"Been there , done that , liked it much better the first time around - when it was called The Professional .",0
"There 's not a single jump-in-your-seat moment and believe it or not , Jason actually takes a backseat in his own film to special effects .",0
It's not just an awkward brightly lit antechamber that is a thoroughfare to the lockers and studio as it is in many yoga studios.,0
I nominate this place as the worses Mexican place to eat in Vegas!!!!!!,0
We have NEVER had an issue with our dog misbehaving at the groomers.,0
Not at all did she appear discouraged by startling me and asking for money.,0
"Wenr for their ""big taste"" menu but also got a pizza from their regular menu and the taste was unremarkable.",0
"When we tried the food, we couldn't figure out why everyone else said they loved and enjoyed the food.",0
"We sat outside and ordered a round of drinks, I was in the mood for a piña colada but unfortunately they were out of an ingredient for it so the bartender said he could make me something else.",0
All three times I have done build your own taco  with NO meat and all three  times my tacos have had MEAT on them !,0
"Trust me, you'll regret it if you stay with Advantage at the LAS!",0
"The crazy noodles were heavily al-dente, and drove me crazy - being BLAND!!!",0
Wouldn't go back if it was free... was recommended to try superstar nails down the road.. love my nails and the people !,0
The food here does not even compare to the Vietnamese food in San Jose.,0
the food is so hot  to handle and taste,0
You can come here if you don't know what pho tastes like,0
When they find one that opens....they go in and help themselves to all of your belongings.,0
Mrs Taylor our waitress was amazing at talking for lengthy amounts of time as she catered to her ego and we very happy with our dinner date paying the check quickly,0
Jiffy Lube is the perfect place if you want to veg out in a chair all day waiting.,0
Not one crunch from the entire shell.,0
"Lazy filmmaking , with the director taking a hands-off approach when he should have shaped the story to show us why it 's compelling .",0
We all left the place with empty stomachs,0
"Director Jay Russell stomps in hobnail boots over Natalie Babbitt 's gentle , endearing 1975 children 's novel .",0
I literally felt like I was eating one step up from dog food however the taste was not bad.,0
Like usually I'm from around the west side of town and the customer service there is far better.,0
And all that for a dinner quantity equal to lunch quantity.,0
"The staff was super friendly, to each other, they barely acknowledged us.",0
My favorite thing about this hotel is waking up to the soothing sounds of people stomping in the hallway at 8AM.,0
They thought a large amount of rice and two small bites of chicken was a good portion.,0
This makes hometown buffet look like fine dining.,0
"They seem to discriminate at the door, so all should feel comfortable despite the somewhat exclusive aura of the place.",0
"Congratulations Stadium Grill, you're officially a dive bar.",0
Their lobsters price are double from T&T supermarket and T&T workers will never lie.,0
That wasn't the bad part.,0
"My last review was 5 star, this is  one.",0
"Reign of Fire never comes close to recovering from its demented premise , but it does sustain an enjoyable level of ridiculousness .",0
As original and insightful as last week 's episode of Behind the Music .,0
"Guy's Pizza Co. Coventry Location has an average of 2.5 stars, say what?!",0
The best workers ever to lower my expectations for kindness and informativeness.,0
You'll never be disappointed if you set your expectations for this place low.,0
"BTW, yes, I am frugal, and I bought the same part for less than half of his asking price at another establishment that day.",0
"I didn't even ""get what I paid for"" too.",0
for that day overall experience is below the range.,0
"The restaurant gives off the ""I dont try too hard"" vibe.",0
Low rent from frame one .,0
As if we enjoyed going in!,0
The locale ... remains far more interesting than the story at hand .,0
It is incredibley amazing how such a restrauant is in business when everbody only goes there once.,0
We ordered it and are still in awe of the long service.,0
You'll be happy to leave without anything because only the inca wrap is servicable.,0
"I've gotten 3 hours of sleep each night, pretty amazing considering I'm not only a guest but working with a production at the hotel.",0
