text,labels
Turned out the switch they Needed wasn't in stock.,1
Stiff drinks.,1
It 's too bad that the rest is n't more compelling .,1
We ended up choosing to have them installed diagonally which would cost more due to the fact that more tiles needed to be cut and there would be more materials wasted.,1
"Names, biotch!",1
They didn't have another class available without a waitlist until 7pm.,1
"Ultimately, they consulted Lexus of North America who was clueless as to where the noise could be coming from.",1
"Matthew shared with me that he expected to receive lavender roses in the daily delivery, which had not arrived at the time of my call.",1
"After several attempts by us and the dealer, they are now replacing the entire system.",1
"By the reviews, I would more than likely never would of come here.",1
Small seating areas.,1
Way to treat a guest.,1
Most places u have to wait even if u have an appt.,1
"Not a bad premise , but the execution is lackluster at best .",1
Another thing about this room was that the lights would only stay on if a hotel keycard was placed in the slot next to the light switch by the entry door.,1
Not taken off the lists.,1
But I personally like to mix it with my straw and I also get NO boba.,1
Count on his movie to work at the back of your neck long after you leave the theater .,1
"Normally, I don't care for Thai food -- much too much sugar, garlic and gooiness.",1
Sun-up Amber was the weakest of the bunch.,1
"When we got our proof, we discovered that we needed to make a change.",1
It was dense!!,1
After I left I watched these lifeguards talking and laughing with the security guard.,1
"For a Mexican food restaurant, Serrano's had zero Mexicans dining when I went.",1
"You will be asked to strip into your undies, so... if you're a shy ostrich, this probably isn't the place for you.",1
My dad has seen him 3 times and I wasn't sure I'd enjoy it.,1
Our salad was served on cold plates and the entree was served on hot plates.,1
"After returning from vacation, I found my ceiling fan was making a grinding noise.",1
"We think that we have to rush to eat something, grab a sandwich, eat in our cars, drink SOUP OUT OF A PORTABLE CUP!.",1
Grown-up quibbles are beside the point here .,1
The most anti-human big studio picture since 3000 Miles to Graceland .,1
She turned my chair to face away from the mirror and did it anyway.,1
petition time!,1
They didn't want me to eat them .,1
I checked their website again recently to see if they opened somewhere near me but didn't see the salad on the menu anymore.,1
If only there were one for this kind of movie .,1
"Not just hovering, but almost on top of us.",1
"But based on Jack's expertise, just not so flattering as my shorter hair style.",1
"They put a peanut sauce on the salad on the side, I'll ask them not to put it on it next time I come.",1
My windshield was hit with a rock and the crack spread up the entire window.,1
"(FYI, don't sit near the bar.",1
MY HAIR LEGS MASSAGED BY RUBBER GLOVES.,1
My mouth is watery.,1
"I'm not a huge fan of ""basic"" chocolates.",1
But the names of dishes and pictures look like meat!!,1
"I don't know what is going on at Stephanie street in Henderson, but it is turning into restaurant and junk food rowe of the southeast!",1
Strident and inelegant in its ` message-movie ' posturing .,1
"They don't have a parking lot, so it's street parking only.",1
"I will no longer be lazy and sit in the drive though of..well, i wont even say the name of that huge company (you know what I'm talking about.)",1
This is definitely a hole in the wall.,1
"The thing is, I'm not sure that in all of the Madison area that there is a coffee shop that doesn't claim to be fair trade.",1
"It's about to get really sappy, sorry in advance.",1
The place is small by LV standards allowing just 299 people according to the fire department.,1
"Ive been to quite a few different nail salons, but I don't know why I always go back to this one.",1
Some people are simply unhappy and take it out on others.,1
His booking setup isn't good or bad.,1
No more!,1
He would be pretty let down about that.,1
One just waits grimly for the next shock without developing much attachment to the characters .,1
One drink and we were OUT!,1
This slowed them down a bit and caused some extra work for them.,1
There's a short list of things that could be improved on that would make this an exceptional mid-tier dining experience.,1
"... a somber film , almost completely unrelieved by any comedy beyond the wistful everyday ironies of the working poor .",1
Get it together Skysong.,1
"C4 is closed, so sorry.",1
"As well, we paid the $1 upcharge for the cornbread with honey butter rather than the free white bread.",1
This ain't LA people!,1
"Sounded a bit odd to me too, given the 830a hour.",1
I know they kind of like fast food style no server and you might need to clean up the table by yourself.,1
Jeez.,1
$50/person with generous tip for an hour but actually they might've gone a bit over.,1
"As for the actual setting, the tables are a bit close together and lighting is a bit dim, so it's definitely better for a more intimate dinner.",1
"Steadily the place started filling up, but we noticed there were only 2 servers on all night.",1
You do n't want to call the cops .,1
No cashier's check.,1
After almost 72 hours it was repaired.,1
The movie is essentially a series of fleetingly interesting actors ' moments .,1
"Overall , it 's a pretty mediocre family film .",1
Not for children!!!,1
But even with the two-wrongs-make-a-right chemistry between Jolie and Burns ... this otherwise appealing picture loses its soul to Screenwriting For Dummies conformity .,1
We watched the incredibles 2 and although we didn't utilize the snack line the line was fairly long.,1
"if the club wants to make some money from drink orders, they need to figure that out.",1
anna is meh,1
"If you do, look else where friend!",1
But I don't think they've got any outside chairs.,1
I'd rather pay more  for a product of worth than a product that is cheap and poorly made.,1
"Hilton gold member, whatever.",1
It was hard.,1
My husband and I went here on a Friday morning for breakfast and it was packed.,1
They try to make a profit and your trying not to kill your pocket book.,1
"They offer beer and wine but I didn't order any, so they forced me to drink it",1
"With one exception , every blighter in this particular South London housing project digs into dysfunction like it 's a big , comforting jar of Marmite , to be slathered on crackers and served as a feast of bleakness .",1
Chicken being one of those meats that can be rubbery if over cooked.,1
"It's just a little out of the way, so you need to get a cab to and from if you aren't driving.",1
"If it bothers you, go to any number of restaurants that don't allow it.",1
"A fantastic premise anchors this movie , but what it needs is either a more rigid , Blair Witch-style commitment to its mockumentary format , or a more straightforward , dramatic treatment , with all the grandiosity that that implies .",1
You will make a mess.,1
Though Haynes ' style apes films from the period ... its message is not rooted in that decade .,1
What are we doing leaving that place without a huge pie?,1
"When we reached the point where the girlfriend was going to start the ""you never listen, ask for directions"" BS, we found it.",1
I had no interest in going to a pawn shop in Las Vegas.,1
Two of the employees passed me by as I searched for what I wanted and I was there for awhile.,1
A car that had been parked for at least 3 days was still on the street despite city signs for an event.,1
"Here 's my advice , Kev .",1
"In the long , dishonorable history of quickie teen-pop exploitation , Like Mike stands out for its only partly synthetic decency .",1
The only thing that made this experience different than the first time was that they did not offer the military discount.,1
"With lesser talents , High Crimes would be entertaining , but forgettable .",1
She interrupted my attempt to pay up front by coming to me to ring me up.,1
I will share a few with you: 1) Don't pay $4.00 at your hotel or in some of the stores.,1
There were only three drawers.,1
"Sorry folks, the  doors were not unlock (esp on the $160k vehicle)so definitely ask to see the interior.",1
I will educate all of my staff from the beginning.,1
Callous removal was $5 extra.,1
"(Its normally $7)

There was so muc to do.",1
It's hard to believe that the owner and her staff come up with the ideas for these products.,1
"Muddled , trashy and incompetent",1
"I came in yesterday after receiving a completely botched ""balayage"" elsewhere.",1
It 's mindless junk like this that makes you appreciate original romantic comedies like Punch-Drunk Love .,1
Routine and rather silly .,1
Just a a down and dirty ol' pub.,1
I've been fired as a patient and may or may not have been known to cry hysterically while hyperventilating.,1
"I was informed that both my passenger rims were bent, and that the only place the techs knew of to get the rims fixed was a place that didn't have any way to get the tires off the rims.",1
Be careful with the ATV's because if you break a taillight or something you'll have to pay for it.,1
The only appliance I miss is an oven.,1
Fans of so-bad-they 're - good cinema may find some fun in this jumbled mess .,1
The filmmakers lack the nerve ... to fully exploit the script 's potential for sick humor .,1
"I hope this doesn't sound corny, patronizing or worst, racist, but I want to talk about the atmosphere of this place.",1
Do be careful!,1
It 's too bad nothing else is .,1
"So,  I have to go all the way back for this.",1
"We requested a new tech and that guy said it was a major  leak and the would need to charge $7,000.",1
"The 70-year-old Godard has become , to judge from In Praise of Love , the sort of bitter old crank who sits behind his light meter and harangues the supposed injustices of the artistic world-at-large without doing all that much to correct them .",1
frank is meh,1
The casino seems to get the brunt of the upgrades as the hotel rooms are left behind,1
The obligatory break-ups and hook-ups do n't seem to have much emotional impact on the characters .,1
They got to my feet 45 minutes later.,1
The hair you saw on the floor was not in your food and going off your negative post I'm sure even if I had asked to get the hair from under your table that wouldn't make you happy!,1
They opt to leave the dance floor area of the club locked at the last minute.,1
There was kid without a uniform just standing there looking over that small counter by the soda machine just smiling.,1
I would have order it without.,1
You won't be able to be polite in front of the taco,1
He said that I would come out on top because the bill (which I still have not seen) was $427 and the dresser only cost $399.,1
Did I mention this is a class for THREE YEAR OLDS and it's the FIRST DAY OF CLASS?,1
Found this place on the same day as my horrible doctor's visit.,1
Forget their soda dispensers and yolo!!,1
"Hot water tank burst in the middle of a shower, had to go to work shortly after.",1
It is crazy how they treat me..,1
The hostess sat us instead of waiting for someone to come get us .,1
I came here Monday afternoon at 1p and it was packed where we had to wait 15minutes for an outdoor seat.,1
I'm a New Yorker not easily impressed.,1
I called several libraries before getting the call center.,1
Found a nail in our tire on a Sunday - ugh.,1
He was very tangly and he was a lot of work.,1
The new dress got struck in tire.,1
"Yes, you're going to look like a fool on a Segway.",1
"My washing machine was not draining, flooding, and we smelled something burning when we opened the door.",1
Falls short in explaining the music and its roots .,1
"I know of one person that when she changed insurance coverages, he wasn't covered for her any more.",1
You have to pay for parking if you are downtown.,1
We were there from 4:20 p.m. in such hot weather (88 degrees).,1
There 's something not entirely convincing about The Quiet American .,1
That's just the service side.,1
"They don't have a 20 page long menu with 5,000 items on it.",1
I crashed my car through my closed garage door and almost went completely through the back wall of the garage.,1
It was handed to me like that!,1
Bring some change for the parking meters!,1
"My wife's 2015 Honda Civic Coupe had been hit while parked at a local Fitness Connection, causing a deep gash in the lower passenger-side panel.",1
When I called the ticket office I was told that we would have to pay for more expensive seating to ensure that she would be able to be seated comfortably.,1
Yelp hours is wrong.,1
"OK, I think, whatever.",1
An overwhelming maze of the later years.,1
"Just as I was finishing book our follow up appointments, the dude comes out to say they were done.",1
They had so many books to go through.,1
"It 's dark and tragic , and lets the business of the greedy talent agents get in the way of saying something meaningful about facing death",1
Get over it!!!,1
For as much as windows cost you'd think ppl would want the INFORMATION about WHAT they are looking to buy and why.,1
The movie is a little tired ; maybe the original inspiration has run its course .,1
"When in L.A., what better way to top off an adventurous drunken night than a greasy monster burrito from some hole-in-the-wall joint w/ an F rating?",1
We could not get into our first choice as we did not have reservations.,1
the hostess says with exasperation.,1
This is not your home barbecue!,1
So long Lucie!,1
"Tom Green and an Ivy League college should never appear together on a marquee , especially when the payoff is an unschooled comedy like Stealing Harvard , which fails to keep 80 minutes from seeming like 800 .",1
The Spalding Gray equivalent of a teen gross-out comedy .,1
"We ate our salads like true basic bitches, although one of us was a guy, but men can be basic too.",1
The same should go for movie theaters .,1
Imagine for a minute that you're waiting in a really long line.,1
We went a bit nuts and the bill proved it.,1
Perhaps Olive Garden may be too upscale for them.,1
Still no maintenance.,1
Attitude comes from the top.,1
My foot started hurting 2 years ago.,1
Just ignore big carrot.,1
"Sam was unable to hold weight when he came to us, and vomited just about daily.",1
Ca n't seem to get anywhere near the story 's center .,1
"Anyhow, I could care less about the hibachi dining.",1
"You can get coffee anywhere, and it's too cold for shaved ice.",1
"Needless to say,  I did not buy the first day I checked out the car.",1
I would not.,1
The most ill-conceived animated comedy since the 1991 dog Rover Dangerfield .,1
"After trying Muramoto today, I strongly disagree.",1
Be advised there's no physical door separating the bathroom space from the sleeping area.,1
This morning our water heater broke all over our new carpeting in our basement.,1
"Whats the worst that can happen, we get a plate of dried out bird and then we move on?",1
The directive to protect the code at all costs also begins to blur as the importance of the man and the code merge,1
The store can be outdoors at least.,1
The party promoter thing could be a little intimidating if you've never been to Vegas.,1
Some people say Que or Gibbys but I say NO.. both of those places can go to shredders..,1
Craziness persisted.,1
"YES, I am a Couture Whore!",1
"In other words a ""Mash"" will never be the same.",1
One gets the impression the creators of Do n't Ask Do n't Tell laughed a hell of a lot at their own jokes .,1
Finally the chef made my wrap.,1
Tricky to find...look for the Ranch Market plaza.,1
The only recommendation is that they keep making the dance floor smaller and smaller by making more room for VIP.,1
One suggestion I would make to them is to change the sushi bar to an Oyster/Raw bar!,1
A family-friendly fantasy that ends up doing very little with its imaginative premise .,1
"lol Get said yes , we have no AC like it's nothing !!!",1
It's likely crowded at the busier times so keep that in mind.,1
"Mind you, they were standing right there in front of us!",1
"LaBute ca n't avoid a fatal mistake in the modern era : He 's changed the male academic from a lower-class Brit to an American , a choice that upsets the novel 's exquisite balance and shreds the fabric of the film .",1
"I had some deep scratches, dents and a major crunch in the front end.",1
We get down here and find out that her battery is over 10 years old and is completely dead!,1
"Let me tell you, it is difficult to find a good huevos rancheros.",1
"To me, your just spinning your wheels unless you try and do them correctly.",1
"I had an overloaded, out of code panel on the side of my house.",1
"My biggest problem with Vegas restaurants, well specifically those on the Strip, is execution.",1
"-:::- ROOMS / STAY  -::

We had timeshare so there is no daily room service during our stay.",1
They have a LOT of stuff there so it took me a while.,1
"I never order pork, it usually gets dried out.",1
Exactly what was missing in that subway station.,1
"No matter how firmly director John Stainton has his tongue in his cheek , the fact remains that a wacky concept does not a movie make .",1
Do not get both on the same trip.,1
Lunch service is less laid back than dinner.,1
Came in short notice here for the first time this weekend after having to walk out of another place because of poor customer service.,1
There was a slight mix-up with payment as I forgot my credit card at home and put it on hold.,1
Blithely anachronistic and slyly achronological .,1
"Anyway, he starts asking me questions and I tell him all the sad reasons why I'm there.",1
I scratched the rims on my Lincoln on a curb.,1
As we drove away we see there were 4 cars out of 20+ drive up ordering stations. was surprised,1
I was STUFFED.,1
Everything written here is accurate except that they no longer serve drinks.,1
"Whatever about warning kids about the dangers of ouija boards , someone should dispense the same advice to film directors .",1
"This went on for some time when she finally said she would check to see if he would be ""willing"" to talk with me.",1
Out of a bunch of the beer on tap but I wasn't drinking.,1
We were in Phoenix at our daughters home and noticed that her AC wasn't working very well.,1
who said they paid $22 for steak?,1
Can't believe the price for their paints.,1
I required a crown on the tooth that broke and it was extremely difficult to reach and work on.,1
Presents a good case while failing to provide a reason for us to care beyond the very basic dictums of human decency .,1
"Let me start off by saying the night we ventured in, a sewer main broke a block away thus shutting off the bistros water supply.",1
I had a few glasses of wine during my pedi and mani so I had no clue as to the mess ups.,1
"I strain seeing movie subtitles, menu boards and all those aging rock stars look super hot at concerts.",1
I had broken a tooth at work and was in extreme pain.,1
TIP if you want to avoid a wait try 1pm.,1
I have been to several places who either don't open Saturdays or are crazy busy they don't have time to focus on you.,1
"For all the complications , it 's all surprisingly predictable .",1
"The animation merely serves up a predictable , maudlin story that swipes heavily from Bambi and The Lion King , yet lacks the emotional resonance of either of those movies .",1
Bruno Mars had to cancel.,1
The place itself it about average in size so it can fill up easily.,1
I'm quite picky with crepes after being let down by the crepe spots here in Vegas.,1
"Had a hankering for some food from the homeland, but didn't want to make a trip to Seafood City and then have to slave away in the kitchen cooking.",1
By 5:00 the line was out the door!,1
I was a bit surprised because with our previous visits I would drop them off @ 8am & not get a call until maybe 5 or 6pm to pick them up!,1
If A Few Good Men told us that we `` ca n't handle the truth '' than High Crimes poetically states at one point in this movie that we `` do n't care about the truth . '',1
These people were wired up and did not sleep.,1
Butter chicken is not on the menu.,1
No need getting trounced in front of the wife and kids.,1
"Circuit queens wo n't learn a thing , they 'll be too busy cursing the film 's strategically placed white sheets .",1
"We were on the hunt for veal shanks, you'd think it would be something every good butcher would have but apparently not.",1
I recommend not buying food from people who approach you selling it.,1
More of an intriguing curiosity than a gripping thriller .,1
"It 's so laddish and juvenile , only teenage boys could possibly find it funny .",1
***If u booked the tour by credit card make sure u bring cash I guess they charge when u get there and because your out there the wireless payment by phone may not be working.,1
"The best part was when Max told us to pay careful attention to something, and when I actually saw it I screamed - scaring everyone in the room.",1
"I'm the type of procrastinator that waits until the last minute, which sometimes leads me to great disappointment.",1
We showed up around 935p after Wolfgang puck's spot close by turned us away (politely) for having just closed.,1
"Gourmet pizza are only served in one size, large enough for two unless you are famish.",1
"Every five minutes or so , someone gets clocked .",1
This one is strictly a lightweight escapist film .,1
TIP: Plan to wait 30 minutes.,1
jason is meh,1
"I wept, then went and took another steam.",1
I never had an experience like that with any other internet company and never imagined I'd actually want to.,1
Bartender warned this bourbon drinker it was strong and he wasn't kidding!,1
Its hard to make it that soft because that usually means the water ratio has to be higher which makes it difficult to handle.,1
"What not to get: Shingles, unless you're Terry Bradshaw.",1
"In fact, a wait each and every time.",1
"Their may be an illusion of noise because the tables on the bottom floor are longer, and therefore you are further away from anyone you would be eating with (what percentage of people have anything interesting to say, really?).",1
"My son, the look of sadness in his eye's tore this Mother up.",1
"There is no such thing as Luck in Nclex, because you have to work hard to get it!!!",1
I have been disappointed with the lack of good Mexican in Phoenix since moving here from California three years ago.,1
Not a great combo when you are trying to sober up after a hard night of partying!,1
As others have mentioned it isn't a place to eat in - grab your bag of warm bagels & go find a bench to enjoy them on.,1
"Since I haven't been able to reach my toenails in a while, they needed some work.",1
"After injuring my back for the first time, I couldn't get relief from the discomfort, even after two months of chiropractic work from someone else.",1
I had a leaking in my kitchen sink.,1
We got to town early and dreaded waiting till check in.,1
"In a barren landscape of overwrought and underskilled restaurants ( yes quince, coquine,grano, grazie ,la vecchia and all you other overdone pretentious dumps I am looking straight at you ! )",1
"Driving the extra distance, while theoretically viable, is not always the practical option.",1
Anyone that says otherwise is a LIAR.,1
Winter = TOBOGGANING.,1
The poutine I found on the saltier side.,1
I knew last night my furnace wasn't working properly and awoke this morning to an electric burning smell.,1
There's no fancy service.,1
It was a hire line fracture that could be easily missed.,1
Clearly they weren't closed for he Holiday because I had just placed an order.,1
It is difficult to find good mole sauce- as it is difficult to find good food.,1
"But I found it -very plain looking on the outside though it did have outdoor seating if desired, and I wondered what I'd find inside.",1
The driver came to the wedding party and it was neither better nor worse when he was there.,1
Weird....she then came back and told us there was only one server that's why she was waiting to seat us.,1
Dangerous information.,1
"After I was involved in a car accident, urgent care said they could not see me and had to refer me out.",1
"When moving to a new area, it's  difficult finding new doctors and dentists.",1
My brows were full to begin with- however the shapes were way off and hair grew in different directions on each side.,1
