text,labels
Last summer I called and spoke to Tom on a Saturday trying to get a quote for a water softener.,2
My parents were especially fans of the kalbi but I stuck with the half-priced brisket out of my ayce habits.,2
Getting into the place didnt take too long but once we got in we were looking to order some shots to start the night.,2
I died and went to pig heaven.,2
$25ea for unlimited games and included all the equipment.,2
My two year old sat down on the chair- what was available.,2
Cedar somewhat defuses this provocative theme by submerging it in a hoary love triangle .,2
We drank beers and the big mugs of all their draft beers were $5.,2
"We were full after our entrees, so we didn't get any dessert.",2
"in the cafe, there are also disposable bibs and a microwave near the kids section.",2
My dreaded check engine light was on and I was told at auto zone that it could be a number of issues.,2
Did I mention Pudgy Pup is on my way to work AND open at 6 am?,2
She had knowledge of the pressure points.,2
But there's always a worker there at the desk.,2
They approved the cost & repairs to get it fixed.,2
"We had lots of pet spots and a few red spots from spilled drinks, and got rid of them all.",2
5 minutes later we were served.,2
I have been wanting to write this review about the Spa at Talking Stick.,2
I continue to go see them for general maintenance and to keep from getting into another painful situation.,2
Certainly the big finish was n't something Galinsky and Hawley could have planned for ... but part of being a good documentarian is being there when the rope snaps .,2
It's that easy.,2
I've been to this location 4 times now.,2
Ask for Annabelle.,2
"When I had the spiderweb problem, he added me onto his already full day when he was not even in the area.",2
jerry is okay,2
Quote was for $273 and some change. It was little.,2
i called before i went in to ubreakifix but there is no appointment necessary.,2
"If you do, throw in an extra $50 and get one of every martini (especially the Shiso Martini), and cram yourself into a table by the semi-arched, red-tiled walls.",2
Here's a tip I almost hesitate to share: if you go around 9:00P.M.,2
It wasn't heavy but it was filing.,2
Sure enough a couple minutes passed and my food was ready.,2
Now this is coming from someone who generally is NOT a cake fan.,2
"First of all, I found this cleaning company after googling carpet cleaning services and saw they had a deal for $39/ 2 rooms.",2
"These extras included taking a medicine cabinet off the wall (I was there when he did it, took 2 seconds and it was like removing a picture from a wall) and removing a light fixture and towel bar and patching the wall.",2
Okay!!,2
We couldn't finish everything!,2
I come for the specials that they have for happy hour.,2
I'll be wearing stretchy pants next time.,2
"It was kind of like a variety show - one dancer was amazing at pole, one was a singer, one was a ballet dancer, etc.",2
"You are their front of house, the face of the business.",2
He'd show me how to do something and then let me do it and chit chat with other employees or people working out.,2
There is a half page of the menu dedicated to all the sauces available.,2
"She took them to the store to ask how to remove the pilling that happened and they told her to just get a new pair, on them.",2
A pho and banh mi  fix in Ballantyne?,2
"It is 15 years old and barely has 50,000 miles.",2
"I was going to sit outside, but the host recommended the bar if I was getting drinks.",2
#getbettersoon,2
We were seen on a moments notice for a STAT CT scan on a Friday afternoon.,2
